version,size,arr0,arr1,arr2,arr3,time_alloc,time_init,time_seq_baseline,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,verification,user
parallel_padded,50000000,45000000,45000000,45000000,45000000,0.000023,0.426333,0.0,0.000000,0.131273,0.030111,0.000000,0.587740,PASS,phoebus
parallel_local_accum,50000000,45000000,45000000,45000000,45000000,0.000023,0.437001,0.0,0.000000,0.033659,0.030026,0.000000,0.500709,PASS,phoebus
sequential,100000000,90000000,90000000,90000000,90000000,0.000026,0.903544,0.0,0.0,0.172877,0.0,0.0,1.136129,PASS,phoebus
parallel_unpadded,100000000,90000000,90000000,90000000,90000000,0.000023,0.851962,0.0,0.000000,0.219160,0.062746,0.000000,1.133891,PASS,phoebus
parallel_padded,100000000,90000000,90000000,90000000,90000000,0.000026,0.877310,0.0,0.000000,0.236929,0.063744,0.000000,1.178009,PASS,phoebus
parallel_local_accum,100000000,90000000,90000000,90000000,90000000,0.000027,0.873510,0.0,0.000000,0.069326,0.060929,0.000000,1.003792,PASS,phoebus
sequential,100000,90000,90000,90000,90000,0.000181,0.004183,0.0,0.0,0.000707,0.0,0.0,0.005361,PASS,ea24205
parallel_unpadded,100000,90000,90000,90000,90000,0.000167,0.004776,0.0,0.000000,0.001518,0.000242,0.000000,0.006703,PASS,ea24205
parallel_padded,100000,90000,90000,90000,90000,0.000165,0.004734,0.0,0.000000,0.001364,0.000255,0.000000,0.006518,PASS,ea24205
parallel_local_accum,100000,90000,90000,90000,90000,0.000166,0.004731,0.0,0.000000,0.000813,0.000246,0.000000,0.005956,PASS,ea24205
sequential,1000000,900000,900000,900000,900000,0.000181,0.031484,0.0,0.0,0.003187,0.0,0.0,0.035767,PASS,ea24205
parallel_unpadded,1000000,900000,900000,900000,900000,0.000055,0.015009,0.0,0.000000,0.005710,0.000813,0.000000,0.021587,PASS,ea24205
parallel_padded,1000000,900000,900000,900000,900000,0.000062,0.016676,0.0,0.000000,0.003380,0.000903,0.000000,0.021021,PASS,ea24205
parallel_local_accum,1000000,900000,900000,900000,900000,0.000060,0.016687,0.0,0.000000,0.001903,0.000877,0.000000,0.019527,PASS,ea24205
sequential,10000000,9000000,9000000,9000000,9000000,0.000064,0.111270,0.0,0.0,0.020792,0.0,0.0,0.138260,PASS,ea24205
parallel_unpadded,10000000,9000000,9000000,9000000,9000000,0.000050,0.123602,0.0,0.000000,0.034141,0.006290,0.000000,0.164083,PASS,ea24205
parallel_padded,10000000,9000000,9000000,9000000,9000000,0.000044,0.122002,0.0,0.000000,0.024330,0.006379,0.000000,0.152755,PASS,ea24205
parallel_local_accum,10000000,9000000,9000000,9000000,9000000,0.000047,0.122828,0.0,0.000000,0.013641,0.006266,0.000000,0.142782,PASS,ea24205
sequential,50000000,45000000,45000000,45000000,45000000,0.000054,0.523437,0.0,0.0,0.110210,0.0,0.0,0.662711,PASS,ea24205
parallel_unpadded,50000000,45000001,45000000,45000000,45000000,0.000049,0.609519,0.0,0.000000,0.126753,0.027322,0.000000,0.763643,PASS,ea24205
parallel_padded,50000000,45000000,45000000,45000000,45000000,0.000048,0.607256,0.0,0.000000,0.174941,0.027294,0.000000,0.809539,PASS,ea24205
parallel_local_accum,50000000,45000000,45000000,45000000,45000000,0.000045,0.605374,0.0,0.000000,0.044938,0.027336,0.000000,0.677693,PASS,ea24205
sequential,100000000,90000000,90000000,90000000,90000000,0.000054,1.058898,0.0,0.0,0.213434,0.0,0.0,1.325982,PASS,ea24205
parallel_unpadded,100000000,90000000,90000000,90000000,90000000,0.000045,1.223335,0.0,0.000000,0.218410,0.053726,0.000000,1.495516,PASS,ea24205
parallel_padded,100000000,90000000,90000000,90000000,90000000,0.000048,1.224403,0.0,0.000000,0.326962,0.053362,0.000000,1.604775,PASS,ea24205
