user,threads,trans,scheme,accounts,query_pct,seq_ms,par_ms,speedup_pct
marr,4,80000,fine,10000,10,5.777,4.7202,22.38888182704124
marr,4,80000,rwlock,10000,10,5.777,15.5898,-62.943719611540885
marr,4,80000,coarse,10000,50,6.164999999999999,15.743399999999998,-60.84073325965167
marr,4,80000,fine,10000,50,6.164999999999999,3.8758,59.06393518757416
marr,4,80000,rwlock,10000,50,6.164999999999999,8.5212,-27.651035065483743
marr,4,80000,coarse,10000,90,7.4132,14.718799999999998,-49.63448107182651
marr,4,80000,fine,10000,90,7.4132,11.064,-32.99710773680404
marr,4,80000,rwlock,10000,90,7.4132,6.138400000000001,20.767626743125245
marr,8,20000,coarse,100,10,1.3137999999999999,30.8806,-95.74554898544717
marr,8,20000,fine,100,10,1.3137999999999999,5.655200000000001,-76.76828405715095
