barrier_type,iterations,threads,time_init,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,user
pthread,10000,8,0.000012,0.000278,0.266640,0.000001,0.000000,0.266931,phoebus
cond_var,10000,8,0.000010,0.000316,0.393008,0.000000,0.000001,0.393335,phoebus
sense_reversal,10000,8,0.000011,0.000364,0.624578,0.000000,0.000000,0.624953,phoebus
pthread,50000,2,0.000009,0.000056,0.535951,0.000000,0.000000,0.536016,phoebus
cond_var,50000,2,0.000011,0.000069,0.500411,0.000000,0.000000,0.500491,phoebus
sense_reversal,50000,2,0.000011,0.000059,0.039613,0.000001,0.000000,0.039684,phoebus
pthread,50000,4,0.000010,0.000114,0.692569,0.000000,0.000000,0.692693,phoebus
cond_var,50000,4,0.000010,0.000125,0.711783,0.000000,0.000001,0.711919,phoebus
sense_reversal,50000,4,0.000009,0.000128,0.289786,0.000000,0.000000,0.289923,phoebus
pthread,50000,8,0.000009,0.000205,1.083388,0.000000,0.000000,1.083603,phoebus
cond_var,50000,8,0.000010,0.000198,1.553176,0.000000,0.000001,1.553385,phoebus
sense_reversal,50000,8,0.000010,0.000217,3.305954,0.000000,0.000000,3.306181,phoebus
pthread,100000,2,0.000016,0.000094,1.146026,0.000000,0.000000,1.146137,phoebus
cond_var,100000,2,0.000010,0.000055,1.115910,0.000000,0.000000,1.115975,phoebus
sense_reversal,100000,2,0.000011,0.000055,0.069097,0.000000,0.000000,0.069163,phoebus
pthread,100000,4,0.000010,0.000131,1.518877,0.000000,0.000000,1.519018,phoebus
cond_var,100000,4,0.000010,0.000103,1.480939,0.000000,0.000000,1.481052,phoebus
sense_reversal,100000,4,0.000012,0.000158,0.593662,0.000000,0.000000,0.593833,phoebus
pthread,100000,8,0.000012,0.000191,2.321803,0.000000,0.000000,2.322007,phoebus
cond_var,100000,8,0.000010,0.000185,3.163677,0.000000,0.000000,3.163872,phoebus
sense_reversal,100000,8,0.000009,0.000238,6.472950,0.000000,0.000000,6.473197,phoebus
