n,threads,sparsity,reps,nnz,time_init,time_csr_construct,time_spmv_total,time_dense_total,verification,user
4000,2,0,1,16000000,0.073922,0.029880,0.005434,0.003492,PASS,phoebus
4000,4,0,1,16000000,0.043127,0.022817,0.005356,0.003508,PASS,phoebus
4000,8,0,1,16000000,0.038156,0.019743,0.005041,0.003690,PASS,phoebus
4000,sequential,0,5,16000000,0.148671,0.057074,0.045333,0.033680,PASS,phoebus
4000,2,0,5,16000000,0.076011,0.029295,0.028488,0.017924,PASS,phoebus
4000,4,0,5,16000000,0.043634,0.018168,0.025453,0.012971,PASS,phoebus
4000,8,0,5,16000000,0.039060,0.019501,0.025218,0.014866,PASS,phoebus
4000,sequential,0,10,16000000,0.149562,0.059493,0.091984,0.073861,PASS,phoebus
4000,2,0,10,16000000,0.078003,0.030932,0.057187,0.037375,PASS,phoebus
4000,4,0,10,16000000,0.039446,0.016979,0.050645,0.027637,PASS,phoebus
4000,8,0,10,16000000,0.036918,0.020156,0.054300,0.030992,PASS,phoebus
4000,sequential,50,1,7999476,0.189109,0.082239,0.004682,0.006805,PASS,phoebus
4000,2,50,1,7999476,0.093101,0.041552,0.002948,0.003434,PASS,phoebus
4000,4,50,1,7999476,0.051841,0.026463,0.002608,0.002787,PASS,phoebus
4000,8,50,1,7999476,0.045730,0.022746,0.003412,0.003325,PASS,phoebus
4000,sequential,50,5,7999476,0.189098,0.082032,0.023008,0.033784,PASS,phoebus
4000,2,50,5,7999476,0.097562,0.043084,0.013944,0.018879,PASS,phoebus
4000,4,50,5,7999476,0.051092,0.025999,0.012731,0.015406,PASS,phoebus
4000,8,50,5,7999476,0.044179,0.023222,0.014884,0.014795,PASS,phoebus
4000,sequential,50,10,7999476,0.186230,0.085191,0.045786,0.067424,PASS,phoebus
4000,2,50,10,7999476,0.094682,0.042601,0.029285,0.035280,PASS,phoebus
4000,4,50,10,7999476,0.047754,0.023169,0.025290,0.026824,PASS,phoebus
4000,8,50,10,7999476,0.042792,0.021036,0.029618,0.029447,PASS,phoebus
4000,sequential,90,1,1601555,0.107490,0.031588,0.000939,0.006682,PASS,phoebus
4000,2,90,1,1601555,0.053911,0.016157,0.000543,0.003611,PASS,phoebus
