locking_scheme,accounts,query_pct,time_alloc,time_init,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,user
fine,1000,0.1,0.000008,0.001835,0.011342,0.008177,0.000001,0.000001,0.021364,marr
fine,1000,0.5,0.000014,0.000024,0.017075,0.010521,0.000002,0.000000,0.027636,marr
fine,1000,0.9,0.000010,0.000024,0.000584,0.006933,0.000002,0.000000,0.007553,marr
fine,10000,0.1,0.000008,0.000232,0.015071,0.017051,0.004142,0.000001,0.036505,marr
fine,10000,0.5,0.000012,0.000242,0.025082,0.000001,0.000090,0.000001,0.025428,marr
fine,10000,0.9,0.000008,0.001173,0.016176,0.002121,0.000035,0.000000,0.019513,marr
rwlock,100,0.1,0.000009,0.000006,0.003991,0.033388,0.000001,0.000000,0.037395,marr
rwlock,100,0.5,0.000008,0.000006,0.008217,0.050533,0.000001,0.000000,0.058765,marr
rwlock,100,0.9,0.000008,0.000006,0.004754,0.012486,0.000001,0.000000,0.017255,marr
rwlock,1000,0.1,0.000010,0.000029,0.004194,0.007162,0.000001,0.000000,0.011396,marr
rwlock,1000,0.5,0.000008,0.000030,0.000551,0.010545,0.000001,0.000000,0.011135,marr
rwlock,1000,0.9,0.000008,0.000029,0.000402,0.006092,0.000001,0.000000,0.006532,marr
rwlock,10000,0.1,0.000010,0.000309,0.000177,0.009482,0.000041,0.000000,0.010019,marr
rwlock,10000,0.5,0.000009,0.000250,0.000171,0.008326,0.000035,0.000000,0.008791,marr
rwlock,10000,0.9,0.000009,0.000245,0.000190,0.008966,0.000029,0.000001,0.009440,marr
sequential,100,0.1,0.000007,0.000002,0.0,0.002740,0.0,0.0,0.002750,phoebus
sequential,100,0.5,0.000012,0.000003,0.0,0.003138,0.0,0.0,0.003153,phoebus
sequential,100,0.9,0.000008,0.000003,0.0,0.003304,0.0,0.0,0.003315,phoebus
sequential,1000,0.1,0.000009,0.000014,0.0,0.004029,0.0,0.0,0.004054,phoebus
sequential,1000,0.5,0.000010,0.000026,0.0,0.004476,0.0,0.0,0.004513,phoebus
sequential,1000,0.9,0.000021,0.000016,0.0,0.005486,0.0,0.0,0.005524,phoebus
sequential,10000,0.1,0.000018,0.000161,0.0,0.002804,0.0,0.0,0.002985,phoebus
sequential,10000,0.5,0.000019,0.000195,0.0,0.003456,0.0,0.0,0.003671,phoebus
sequential,10000,0.9,0.000008,0.000142,0.0,0.004292,0.0,0.0,0.004443,phoebus
coarse,100,0.1,0.000008,0.000002,0.000126,0.010206,0.000000,0.000001,0.010343,phoebus
coarse,100,0.5,0.000007,0.000002,0.000150,0.010368,0.000000,0.000000,0.010527,phoebus
coarse,100,0.9,0.000009,0.000003,0.000156,0.010168,0.000000,0.000001,0.010337,phoebus
coarse,1000,0.1,0.000008,0.000015,0.000111,0.012318,0.000000,0.000000,0.012453,phoebus
coarse,1000,0.5,0.000008,0.000014,0.000113,0.011325,0.000000,0.000001,0.011461,phoebus
coarse,1000,0.9,0.000008,0.000014,0.000100,0.009425,0.000000,0.000000,0.009547,phoebus
coarse,10000,0.1,0.000008,0.000198,0.000134,0.011768,0.000000,0.000001,0.012109,phoebus
coarse,10000,0.5,0.000009,0.000146,0.000140,0.011792,0.000000,0.000001,0.012088,phoebus
coarse,10000,0.9,0.000007,0.000232,0.000111,0.010806,0.000000,0.000001,0.011157,phoebus
fine,100,0.1,0.000007,0.000004,0.000107,0.013860,0.000001,0.000000,0.013979,phoebus
fine,100,0.5,0.000008,0.000004,0.000133,0.012874,0.000000,0.000001,0.013020,phoebus
fine,100,0.9,0.000006,0.000004,0.000101,0.011679,0.000001,0.000000,0.011791,phoebus
fine,1000,0.1,0.000011,0.000028,0.000176,0.014829,0.000002,0.000001,0.015047,phoebus
fine,1000,0.5,0.000009,0.000027,0.000137,0.011724,0.000005,0.000000,0.011902,phoebus
fine,1000,0.9,0.000010,0.000027,0.000173,0.009989,0.000004,0.000001,0.010204,phoebus
fine,10000,0.1,0.000009,0.000295,0.000119,0.016111,0.000056,0.000001,0.016591,phoebus
