degree,threads,time_alloc,time_init,time_thread_create,time_compute,time_join,time_reduce,time_verify,time_cleanup,time_total,verification,user
20000,sequential,0.000016,0.000255,0.0,0.188560,0.0,0.0,0.0,0.000032,0.188863,PASS,phoebus
20000,1,0.000000,0.000000,0.000000,0.185230,0.000050,0.000000,0.000000,0.000000,0.185328,PASS,phoebus
20000,2,0.000000,0.000000,0.000084,0.091768,0.000061,0.000000,0.000000,0.000000,0.091949,PASS,phoebus
20000,4,0.000000,0.000000,0.000986,0.027958,0.055599,0.000000,0.000000,0.000000,0.084576,PASS,phoebus
20000,8,0.000000,0.000000,0.003971,0.021139,0.086288,0.000000,0.000000,0.000000,0.111442,PASS,phoebus
20000,16,0.000000,0.000000,0.009611,0.002411,0.126507,0.000000,0.000000,0.000000,0.138581,PASS,phoebus
80000,sequential,0.000017,0.000990,0.0,3.023435,0.0,0.0,0.0,0.000078,3.024520,PASS,phoebus
80000,1,0.000000,0.000000,0.000000,3.022691,0.000299,0.000000,0.000000,0.000000,3.023003,PASS,phoebus
80000,2,0.000000,0.000000,0.000253,1.543083,0.000287,0.000000,0.000000,0.000000,1.543642,PASS,phoebus
80000,4,0.000000,0.000000,0.006087,0.467480,0.948240,0.000000,0.000000,0.000000,1.421900,PASS,phoebus
80000,8,0.000000,0.000000,0.071479,0.130251,1.096254,0.000000,0.000000,0.000000,1.298029,PASS,phoebus
80000,16,0.000000,0.000000,0.001621,0.123018,1.413564,0.000000,0.000000,0.000000,1.538267,PASS,phoebus
100000,sequential,0.000016,0.001172,0.0,4.698529,0.0,0.0,0.0,0.000090,4.699807,PASS,phoebus
100000,1,0.000000,0.000000,0.000000,4.615392,0.000315,0.000000,0.000000,0.000000,4.615729,PASS,phoebus
100000,2,0.000000,0.000000,0.000284,2.453750,0.000420,0.000000,0.000000,0.000000,2.454468,PASS,phoebus
100000,4,0.000000,0.000000,0.001177,0.725102,1.508763,0.000000,0.000000,0.000000,2.235078,PASS,phoebus
100000,8,0.000000,0.000000,0.093963,0.336394,1.720550,0.000000,0.000000,0.000000,2.150960,PASS,phoebus
100000,16,0.000000,0.000000,0.047025,0.231565,2.786035,0.000000,0.000000,0.000000,3.064681,PASS,phoebus
5000,sequential,0.000023,0.000050,0.0,0.012041,0.0,0.0,0.0,0.000001,0.012115,PASS,phoebus
5000,1,0.000000,0.000000,0.000001,0.011797,0.000008,0.000000,0.000000,0.000000,0.011820,PASS,phoebus
5000,2,0.000000,0.000000,0.000034,0.007137,0.000023,0.000000,0.000000,0.000000,0.007215,PASS,phoebus
5000,4,0.000000,0.000000,0.000705,0.001766,0.003672,0.000000,0.000000,0.000000,0.006158,PASS,phoebus
5000,8,0.000000,0.000000,0.001440,0.000346,0.003869,0.000000,0.000000,0.000000,0.005674,PASS,phoebus
5000,16,0.000000,0.000000,0.001534,0.000146,0.003809,0.000000,0.000000,0.000000,0.005520,PASS,phoebus
20000,sequential,0.000017,0.000248,0.0,0.189231,0.0,0.0,0.0,0.000030,0.189526,PASS,phoebus
20000,1,0.000000,0.000000,0.000000,0.184687,0.000050,0.000000,0.000000,0.000000,0.184783,PASS,phoebus
20000,2,0.000000,0.000000,0.000140,0.091692,0.001426,0.000000,0.000000,0.000000,0.093315,PASS,phoebus
20000,4,0.000000,0.000000,0.001122,0.024233,0.055655,0.000000,0.000000,0.000000,0.081041,PASS,phoebus
20000,8,0.000000,0.000000,0.009710,0.009521,0.079205,0.000000,0.000000,0.000000,0.098469,PASS,phoebus
20000,16,0.000000,0.000000,0.006261,0.002147,0.105320,0.000000,0.000000,0.000000,0.113773,PASS,phoebus
80000,sequential,0.000024,0.001046,0.0,3.013216,0.0,0.0,0.0,0.000098,3.014384,PASS,phoebus
80000,1,0.000000,0.000000,0.000000,2.982694,0.000430,0.000000,0.000000,0.000000,2.983137,PASS,phoebus
80000,2,0.000000,0.000000,0.000244,1.570986,0.000266,0.000000,0.000000,0.000000,1.571513,PASS,phoebus
80000,4,0.000000,0.000000,0.003254,0.460642,0.897575,0.000000,0.000000,0.000000,1.361545,PASS,phoebus
80000,8,0.000000,0.000000,0.013624,0.228101,1.106922,0.000000,0.000000,0.000000,1.348696,PASS,phoebus
80000,16,0.000000,0.000000,0.295186,0.031746,0.985549,0.000000,0.000000,0.000000,1.312548,PASS,phoebus
100000,sequential,0.000015,0.001042,0.0,4.675350,0.0,0.0,0.0,0.000089,4.676496,PASS,phoebus
100000,1,0.000000,0.000000,0.000001,4.666022,0.000359,0.000000,0.000000,0.000000,4.666398,PASS,phoebus
100000,2,0.000000,0.000000,0.000502,2.425248,0.051160,0.000000,0.000000,0.000000,2.476941,PASS,phoebus
100000,4,0.000000,0.000000,0.000509,0.721080,1.528284,0.000000,0.000000,0.000000,2.249908,PASS,phoebus
100000,8,0.000000,0.000000,0.004520,0.406808,1.810689,0.000000,0.000000,0.000000,2.222064,PASS,phoebus
100000,16,0.000000,0.000000,0.032808,0.046672,2.312225,0.000000,0.000000,0.000000,2.391759,PASS,phoebus
